user_id,group_name,converted
1,test,0
2,test,0
3,test,0
4,test,0
5,control,0
6,test,0
7,control,0
8,control,0
9,test,0
10,control,0
11,control,0
12,control,0
13,control,0
14,test,0
15,test,1
16,test,0
17,control,0
18,test,0
19,test,0
20,control,0
21,test,0
22,control,0
23,test,0
24,test,0
25,test,0
26,control,0
27,test,0
28,test,0
29,test,0
30,test,0
31,control,0
32,control,0
33,control,1
34,control,0
35,control,0
36,control,0
37,test,0
38,control,0
39,control,0
40,test,0
41,test,0
42,control,0
43,test,0
44,control,0
45,control,1
46,control,0
47,test,0
48,control,0
49,test,0
50,test,0
51,control,0
52,test,0
53,control,0
54,test,0
55,control,0
56,test,0
57,control,0
58,control,1
59,test,1
60,test,0
61,control,0
62,control,0
63,control,0
64,test,0
65,test,1
66,control,0
67,test,0
68,control,0
69,test,0
70,control,0
71,control,1
72,test,0
73,control,0
74,control,0
75,control,0
76,test,0
77,test,0
78,control,0
79,test,0
80,test,0
81,control,0
82,test,0
83,control,0
84,control,0
85,test,0
86,control,0
87,control,0
88,control,0
89,control,0
90,test,0
91,test,0
92,test,0
93,test,0
94,control,0
95,control,0
96,control,0
97,test,0
98,control,0
99,test,0
100,control,0
101,test,0
102,test,1
103,control,1
104,control,0
105,control,0
106,control,0
107,test,0
108,test,0
109,control,0
110,test,0
111,test,0
112,test,0
113,test,1
114,control,0
115,control,0
116,test,0
117,control,0
118,test,0
119,test,0
120,test,0
121,control,0
122,control,0
123,test,0
124,test,0
125,control,0
126,test,0
127,test,0
128,test,0
129,test,1
130,test,0
131,test,1
132,test,0
133,control,0
134,test,0
135,control,0
136,test,1
137,control,0
138,control,0
139,control,0
140,control,0
141,test,0
142,test,0
143,test,0
144,test,0
145,test,0
146,test,0
147,control,0
148,test,0
149,control,0
150,test,0
151,test,0
152,test,0
153,test,0
154,control,0
155,test,0
156,test,0
157,control,0
158,control,0
159,test,0
160,test,1
161,test,0
162,test,0
163,control,0
164,control,0
165,test,1
166,control,0
167,control,1
168,control,0
169,control,0
170,test,0
171,control,0
172,control,0
173,control,0
174,control,0
175,test,0
176,test,0
177,control,0
178,control,0
179,test,0
180,test,0
181,test,0
182,test,0
183,test,0
184,control,0
185,control,0
186,control,0
187,control,0
188,test,0
189,test,0
190,test,0
191,test,0
192,control,0
193,control,0
194,test,0
195,control,0
196,test,0
