order_id,user_id,order_date,amount,status
10001,265,2025-09-10,1366.93,completed
10002,131,2025-07-14,974.39,returned
10003,115,2025-12-31,362.36,completed
10004,162,2025-10-09,1103.99,completed
10005,299,2025-01-07,507.55,completed
10006,122,2025-05-19,325.68,completed
10007,458,2025-04-16,1206.9,returned
10008,240,2025-08-03,1543.05,cancelled
10009,432,2025-04-07,1585.55,completed
10010,342,2025-12-19,1631.12,returned
10011,167,2025-04-20,-100.0,completed
10012,115,2025-07-10,422.96,completed
10013,372,2025-02-14,4365.4,completed
10014,166,2025-11-29,526.87,completed
10015,124,2025-11-29,1681.75,completed
10016,466,2025-10-17,678.0,completed
10017,242,2025-05-09,1159.53,completed
10018,25,2025-01-22,703.96,returned
10019,248,2025-09-17,1624.7,returned
10020,231,2025-06-06,1206.82,completed
10021,432,2025-12-28,801.27,completed
10022,356,2025-09-12,525.78,completed
10023,96,2025-07-16,1322.72,completed
10024,76,2025-12-27,469.23,completed
10025,302,2025-10-20,1479.17,completed
10026,24,2025-06-17,,completed
10027,160,2025-01-07,2821.77,completed
10028,70,2025-02-03,1813.19,completed
10029,11,2025-06-11,1032.85,completed
10030,460,2025-07-25,282.27,cancelled
10031,45,2025-01-12,434.59,completed
10032,5,2025-02-16,2691.77,completed
10033,467,2025-09-15,630.91,completed
10034,95,2025-10-02,672.18,completed
10035,409,2025-01-11,976.57,completed
10036,16,2025-07-05,521.43,completed
10037,77,2025-01-30,464.64,completed
10038,56,2025-09-22,1058.56,completed
10039,354,2025-11-01,587.53,completed
10040,311,2025-11-14,652.81,completed
10041,238,2025-08-07,634.71,completed
10042,121,2025-08-18,1580.75,completed
10043,45,2025-12-05,932.17,completed
10044,285,2025-08-12,967.78,completed
10045,116,2025-06-12,1665.47,completed
10046,296,2025-10-03,992.84,completed
10047,344,2025-08-04,902.55,completed
10048,425,2025-11-04,1524.34,completed
10049,247,2025-07-11,1750.64,completed
10050,3,2025-11-14,989.35,completed
10051,141,2025-01-17,1160.29,completed
10052,427,2025-01-14,634.44,cancelled
10053,267,2025-02-06,600.36,returned
10054,310,2025-07-23,1878.83,returned
10055,229,2025-09-16,1497.36,completed
10056,82,2025-03-20,1508.26,completed
10057,449,2025-02-26,1334.88,completed
10058,387,2025-11-11,1132.68,completed
10059,498,2025-10-01,1785.56,completed
10060,428,2025-08-25,2110.28,completed
10061,146,2025-06-28,2075.3,completed
10062,128,2025-06-03,1021.94,completed
10063,125,2025-01-08,2895.45,completed
10064,460,2025-03-10,1286.81,completed
10065,279,2025-11-24,1707.29,cancelled
10066,228,2025-05-04,1336.03,completed
10067,485,2025-09-15,1303.63,completed
10068,302,2025-09-14,655.22,returned
10069,455,2025-04-23,1791.75,completed
10070,493,2025-03-16,8036.16,completed
10071,40,2025-09-10,843.57,completed
10072,181,2025-02-04,1152.51,completed
10073,368,2025-06-30,802.44,completed
10074,407,2025-11-21,779.29,cancelled
10075,75,2025-09-17,3232.83,completed
10076,160,2025-10-06,684.66,cancelled
10077,275,2025-01-31,786.93,returned
10078,400,2025-03-14,360.96,completed
10079,57,2025-04-11,645.27,completed
10080,301,2025-04-17,331.66,completed
10081,149,2025-03-12,1706.61,completed
10082,109,2025-12-21,7783.71,completed
10083,258,2025-03-02,848.38,completed
10084,208,2025-09-16,341.47,cancelled
10085,318,2025-08-03,2059.05,completed
10086,159,2025-08-11,659.28,completed
10087,412,2025-03-20,2723.15,completed
10088,40,2025-04-23,900.17,completed
10089,431,2025-08-10,704.67,completed
10090,15,2025-04-20,968.19,cancelled
10091,368,2025-09-11,1863.93,completed
10092,174,2025-01-15,935.24,completed
10093,192,2025-01-27,774.56,completed
10094,10,2025-09-23,954.15,completed
10095,352,2025-08-14,450.2,completed
10096,83,2025-01-16,1447.98,cancelled
10097,330,2025-11-25,313.97,completed
10098,363,2025-01-02,803.61,returned
10099,423,2025-12-15,1866.03,completed
10100,355,2025-09-24,1355.78,completed
10101,9999,2025-12-27,1657.76,completed
10102,370,2025-12-13,1047.82,completed
10103,413,2025-04-25,2486.97,completed
10104,159,2025-10-04,2094.96,completed
10105,63,2025-03-18,1498.62,cancelled
10106,446,2025-06-22,2099.14,completed
10107,74,2025-03-29,1854.36,completed
10108,297,2025-06-27,806.24,completed
10109,119,2025-11-15,428.06,completed
10110,64,2025-06-09,1471.82,completed
10111,389,2025-02-03,1607.22,completed
10112,72,2025-04-29,2352.73,completed
10113,336,2025-10-15,569.4,completed
10114,347,2025-07-10,581.43,completed
10115,31,2025-07-24,1513.12,completed
10116,87,2025-06-07,1043.34,completed
10117,398,2025-04-17,292.94,completed
10118,254,2025-08-07,1425.92,cancelled
10119,61,2025-08-20,299.86,completed
10120,496,2025-11-24,565.85,returned
10121,133,2025-08-14,2824.76,completed
10122,3,2025-12-30,3934.01,completed
10123,463,2025-10-29,468.27,completed
10124,9,2025-01-29,870.81,completed
10125,277,2025-05-24,1129.85,completed
10126,497,2025-05-21,3815.62,completed
10127,289,2025-01-02,776.65,completed
10128,293,2025-03-07,785.39,cancelled
10129,195,2025-10-06,3242.53,completed
